id,tableId,name,type,startTime,rate,cron,end,endTime,createTime,lastExecTime,status,lastExecStatus,extraData
d730276e-7c88-4671-867e-370cfcdeb255,49066ed9-71c8-49bb-ab03-032c080de43d,rask_1,all_scope,1642572453006,SIMPLE_CRON,0 0 0 1/31 * ? *,1642582453006,0,1642662578594,,Underway,,"{""simple_cron_type"":""day"",""simple_cron_value"":31}"
f27b06d8-dcff-4d37-9652-557dc3673322,0d055f8e-979b-47f0-a006-d5c2b1088cf0,rask_1,all_scope,1642572453006,SIMPLE_CRON,0 0 0 1/31 * ? *,1642582453006,0,1642662578575,,Underway,,"{""simple_cron_type"":""day"",""simple_cron_value"":31}"
2ceaa89a-64c2-451b-b125-eb3346dd3144,4e0ade72-bb27-40a4-acc7-5c1942458b38,rask_1,all_scope,1642572453006,SIMPLE_CRON,0 0 0 1/31 * ? *,1642582453006,0,1642662578557,,Underway,,"{""simple_cron_type"":""day"",""simple_cron_value"":31}"
847a9814-2a55-4383-9177-6580e82d39a1,f88ee5ab-7ed1-41b0-acd6-cf51f9982c5c,rask_1,all_scope,1642572453006,SIMPLE_CRON,0 0 0 1/31 * ? *,1642582453006,0,1642662578538,,Underway,,"{""simple_cron_type"":""day"",""simple_cron_value"":31}"
a2ac0a57-5f17-4850-9eb7-9b7f86e51550,64794e61-ac89-48f4-845f-798ef6c010fd,rask_1,all_scope,1642572453006,SIMPLE_CRON,0 0 0 1/31 * ? *,1642582453006,0,1642662578520,,Underway,,"{""simple_cron_type"":""day"",""simple_cron_value"":31}"
319d5eea-999d-470b-9a61-1a7189dd2c4c,e52abf9c-6691-40e8-ae72-7de01a56ddae,rask_1,all_scope,1642572453006,SIMPLE_CRON,0 0 0 1/31 * ? *,1642582453006,0,1642662578496,,Underway,,"{""simple_cron_type"":""day"",""simple_cron_value"":31}"
5a6db5b5-da82-4ca8-9e81-f788e98780ee,bcb36276-41d2-42dd-b440-590ea59198df,rask_1,all_scope,1642572453006,SIMPLE_CRON,0 0 0 1/31 * ? *,1642582453006,0,1642662578476,,Underway,,"{""simple_cron_type"":""day"",""simple_cron_value"":31}"
7e435d28-f4cb-405c-ba79-c74a5c44e06c,080c0472-7685-43bb-98a2-92c8efd7f35a,rask_1,all_scope,1642572453006,SIMPLE_CRON,0 0 0 1/31 * ? *,1642582453006,0,1642662578455,,Underway,,"{""simple_cron_type"":""day"",""simple_cron_value"":31}"
2a957137-4d8c-45f5-b3cf-8ff2bdc1dbfc,099ed341-b099-4005-bb78-fc24afdb7de5,rask_1,all_scope,1642572453006,SIMPLE_CRON,0 0 0 1/31 * ? *,1642582453006,0,1642662578413,,Underway,,"{""simple_cron_type"":""day"",""simple_cron_value"":31}"
e96be19a-8af4-43fe-bc03-2c4fd7ac2e8c,a1197216-46d3-41ce-99da-d99f5cdf2aa5,rask_1,all_scope,1642572453006,SIMPLE_CRON,0 0 0 1/31 * ? *,1642582453006,0,1642662578265,,Underway,,"{""simple_cron_type"":""day"",""simple_cron_value"":31}"
3bc52dfe-7684-4816-883a-58c67242129e,1005c2b4-2b23-48fe-a422-1c141002cf07,rask_1,all_scope,1642572453006,SIMPLE_CRON,0 0 0 1/31 * ? *,1642582453006,0,1642662578179,,Underway,,"{""simple_cron_type"":""day"",""simple_cron_value"":31}"
